,dates,Confirmed,Deaths,Active,Recovered,Susceptible
0,1/22/20,0,0,0,0,#State popu
1,1/23/20,0,0,0,0,
2,1/24/20,0,0,0,0,
3,1/25/20,0,0,0,0,
4,1/26/20,0,0,0,0,
5,1/27/20,0,0,0,0,
6,1/28/20,0,0,0,0,
7,1/29/20,0,0,0,0,
8,1/30/20,0,0,0,0,
9,1/31/20,0,0,0,0,
10,2/1/20,0,0,0,0,
11,2/2/20,0,0,0,0,
12,2/3/20,0,0,0,0,
13,2/4/20,0,0,0,0,
14,2/5/20,0,0,0,0,
15,2/6/20,0,0,0,0,
16,2/7/20,0,0,0,0,
17,2/8/20,0,0,0,0,
18,2/9/20,0,0,0,0,
19,2/10/20,0,0,0,0,
20,2/11/20,0,0,0,0,
21,2/12/20,0,0,0,0,
22,2/13/20,0,0,0,0,
23,2/14/20,0,0,0,0,
24,2/15/20,0,0,0,0,
25,2/16/20,0,0,0,0,
26,2/17/20,0,0,0,0,
27,2/18/20,0,0,0,0,
28,2/19/20,0,0,0,0,
29,2/20/20,0,0,0,0,
30,2/21/20,0,0,0,0,
31,2/22/20,0,0,0,0,
32,2/23/20,0,0,0,0,
33,2/24/20,0,0,0,0,
34,2/25/20,0,0,0,0,
35,2/26/20,0,0,0,0,
36,2/27/20,0,0,0,0,
37,2/28/20,0,0,0,0,
38,2/29/20,0,0,0,0,
39,3/1/20,0,0,0,0,
40,3/2/20,0,0,0,0,
41,3/3/20,0,0,0,0,
42,3/4/20,0,0,0,0,
43,3/5/20,0,0,0,0,
44,3/6/20,1,0,1,0,
45,3/7/20,1,0,1,0,
46,3/8/20,1,0,1,0,
47,3/9/20,2,0,2,0,
48,3/10/20,3,0,3,0,
49,3/11/20,5,0,5,0,
50,3/12/20,9,0,9,0,
51,3/13/20,14,0,14,0,
52,3/14/20,21,0,21,0,
53,3/15/20,35,0,35,0,
54,3/16/20,54,0,54,0,
55,3/17/20,60,0,60,0,
56,3/18/20,77,0,77,0,
57,3/19/20,89,0,89,0,
58,3/20/20,115,0,115,0,
59,3/21/20,138,1,137,0,
60,3/22/20,166,1,165,0,
61,3/23/20,233,1,232,0,
62,3/24/20,261,1,260,0,
63,3/25/20,286,1,285,0,
64,3/26/20,344,2,342,0,
65,3/27/20,396,2,394,0,
66,3/28/20,441,5,436,0,
67,3/29/20,503,5,498,0,
68,3/30/20,576,9,567,0,
69,3/31/20,620,9,611,0,
70,4/1/20,680,9,671,0,
71,4/2/20,732,10,722,0,
72,4/3/20,778,11,767,0,
73,4/4/20,853,19,834,0,
74,4/5/20,917,26,891,0,
75,4/6/20,969,30,939,0,
76,4/7/20,1052,34,1018,0,
77,4/8/20,1139,39,1100,0,
78,4/9/20,1227,50,1177,0,
79,4/10/20,1324,57,1267,0,
80,4/11/20,1412,63,1349,0,
81,4/12/20,1621,70,709,842,
82,4/13/20,1621,70,709,842,
